Run NumNeurons Group meanFR meanCV
0 34704 4I 5.7901 0.5415
0 34704 5E 7.4922 0.5286
0 34704 5I 8.4266 0.5234
0 34704 6E 0.0019 
0 34704 6I 6.6757 0.4857
1 34704 all 3.7427 0.4945
1 34704 2/3E 1.6638 0.4724
1 34704 2/3I 4.5228 0.5066
1 34704 4E 3.8064 0.4812
1 34704 4I 5.3333 0.5275
1 34704 5E 6.4607 0.5107
1 34704 5I 7.974 0.4984
1 34704 6E 0.0006 
1 34704 6I 6.3093 0.4649
2 34704 all 4.045 0.5254
2 34704 2/3E 1.969 0.5137
2 34704 2/3I 5.1081 0.5898
2 34704 4E 3.9225 0.4713
2 34704 4I 5.5144 0.5385
2 34704 5E 6.9707 0.5607
2 34704 5I 8.1744 0.5129
2 34704 6E 0.0022 
2 34704 6I 6.4955 0.4909
3 34704 all 3.6717 0.5002
3 34704 2/3E 1.5902 0.4979
3 34704 2/3I 4.4247 0.5003
3 34704 4E 4.0129 0.483
3 34704 4I 5.4362 0.5334
3 34704 5E 6.2763 0.5145
3 34704 5I 7.9521 0.498
3 34704 6E 0.0009 
3 34704 6I 6.1967 0.4745
4 34704 all 3.788 0.4961
4 34704 2/3E 1.6599 0.4629
4 34704 2/3I 4.586 0.5493
4 34704 4E 4.0203 0.4742
4 34704 4I 5.4321 0.4776
4 34704 5E 6.5493 0.5154
4 34704 5I 8.0024 0.5099
4 34704 6E 0.0022 
4 34704 6I 6.2943 0.4837
5 34704 all 3.754 0.4988
5 34704 2/3E 1.6706 0.48
5 34704 2/3I 4.6903 0.5154
5 34704 4E 3.9373 0.4787
5 34704 4I 5.4486 0.5176
5 34704 5E 6.413 0.5201
5 34704 5I 7.9757 0.5023
5 34704 6E 0.0028 
5 34704 6I 6.3093 0.4776
6 34704 all 3.8705 0.5035
6 34704 2/3E 1.7365 0.5108
6 34704 2/3I 4.6271 0.5201
6 34704 4E 3.9991 0.4695
6 34704 4I 5.5885 0.5152
6 34704 5E 6.7434 0.5296
6 34704 5I 8.0235 0.5039
6 34704 6E 0.0022 
6 34704 6I 6.3303 0.4752
7 34704 all 4.1557 0.5138
7 34704 2/3E 2.1179 0.4992
7 34704 2/3I 5.3874 0.5694
7 34704 4E 3.8635 0.4851
7 34704 4I 5.5679 0.5035
7 34704 5E 7.1379 0.5295
7 34704 5I 8.2214 0.5116
7 34704 6E 0.0025 
7 34704 6I 6.542 0.4981
8 34704 all 3.8003 0.5206
8 34704 2/3E 1.801 0.4962
8 34704 2/3I 4.917 0.6064
8 34704 4E 3.9723 0.4936
8 34704 4I 5.4979 0.5268
8 34704 5E 6.3589 0.521
8 34704 5I 8.0211 0.5222
8 34704 6E 0.0019 
8 34704 6I 6.4039 0.478
9 34704 all 4.1288 0.5349
9 34704 2/3E 2.0529 0.5172
9 34704 2/3I 5.5814 0.6738
9 34704 4E 3.7483 0.456
9 34704 4I 5.572 0.5208
9 34704 5E 7.0536 0.5335
9 34704 5I 8.2774 0.5295
9 34704 6E 0.0015 
9 34704 6I 6.6231 0.5138
